"household_id","n_parcelles","n_parcelles_valides","superficie_totale_ha"
59079,5,4,2.95257998
59080,5,4,0.9936
59081,4,3,1.05194003
59083,11,8,2.14877098
59084,5,4,1.207150989
59085,3,2,8.2125
59086,5,4,13.99322002
59087,3,2,4.41182998
59088,3,2,3.74922002
59089,2,1,1.7994
59090,3,2,4.4131
59092,4,3,6.9277
59093,4,3,8.19763999
59094,3,2,2.36735
59095,5,4,11.2859
59097,3,2,1.44941001
59098,7,6,4.67523999
59099,3,2,0.90428
59101,2,2,1.08468999
59102,2,2,1.14657998
59103,2,2,1.03737002
59104,3,3,0.98896897
59105,3,2,1.02940002
59106,3,2,1.54287998
59108,3,2,1.1203
59110,4,3,1.58331001
59111,4,3,1.62863999
59112,4,3,0.93940002
59113,2,2,1.58404004
59115,2,2,1.72796001
59116,2,1,0.12727
59117,4,3,1.48471004
59118,5,4,4.54233
59119,5,4,5.59356006
59120,4,3,1.88147998
59121,3,2,1.50012998
59122,5,4,4.94658999
59124,4,3,2.73130996
59125,4,3,3.62843
59127,3,2,1.87207998
59128,3,2,2.1541
59129,4,3,1.3939
59130,3,2,1.36724004
59132,5,4,4.42650996
59133,1,1,0.47707002
59138,2,2,0.35372
59140,1,1,0.22928
59142,1,0,NA
59143,1,1,0.60293999
59144,1,1,0.72147998
59145,4,3,1.69728997
59147,4,3,2.86830002
59148,3,2,0.81199998
59149,2,2,0.84263
59150,2,2,2.58392998
59151,3,3,4.71805
59153,2,2,1.78680996
59154,3,2,1.57615
59155,6,5,3.99264004
59156,3,2,0.30278
59157,4,3,1.79250796
59158,1,0,NA
59159,5,4,2.00911501
59160,5,4,5.76767002
59161,4,3,0.81526001
59162,6,5,1.44778499
59163,5,4,2.18668996
59164,5,4,1.63571
59165,5,3,0.85674
59168,6,5,1.875952008
59169,1,1,0.171005
59170,3,3,1.44491802
59171,4,4,1.99241001
59172,2,2,1.06611099
59173,3,2,0.61031998
59174,2,1,0.28435
59175,3,2,0.4264
59176,4,3,3.4595
59179,5,4,2.52975998
59180,4,3,1.03860999
59182,5,4,1.76471897
59184,3,3,1.32041301
59185,3,2,0.973493948
59186,5,4,1.81906001
59187,2,1,0.18861
59188,3,2,1.02031001
59189,5,4,3.80575996
59190,5,4,2.21595
59191,6,5,4.54806001
59192,3,2,0.550016998
59212,3,2,0.50934001
59214,1,1,0.39386001
60002,2,1,0.030234
60004,2,1,0.17872
60005,2,1,0.023556
60006,2,1,0.039416
60009,1,0,NA
60010,2,1,0.030797
60032,1,0,NA
60033,2,0,NA
60034,2,0,NA
60035,3,0,NA
60037,4,0,NA
60038,3,0,NA
60039,5,2,0.328928
60040,4,3,0.239042
60041,3,1,0.12922
60042,1,0,NA
60044,1,0,NA
60045,2,1,0.031410999
60050,1,0,NA
60051,3,1,0.037535001
60052,1,1,0.092646997
60053,8,3,0.121029
60054,2,1,0.018864999
60055,2,0,NA
60056,1,0,NA
60057,2,1,0.14537
60058,2,1,0.092402
60059,1,1,0.014083
69001,1,0,NA
69004,1,0,NA
69012,1,0,NA
69021,1,0,NA
69022,1,0,NA
69025,3,2,0.79609001
69026,3,1,0.30263
69027,2,1,0.19686
69028,3,2,0.272685
69029,8,7,0.295414999
69030,5,4,0.650591999
69031,3,3,0.60847
69033,2,2,0.366396012
69034,2,2,0.221390001
69036,2,1,0.21423999
69037,9,7,0.828716001
69038,8,6,0.676655988
69040,1,1,0.083676001
69041,1,1,0.019741
69042,4,3,1.13277302
69043,1,1,0.26481001
69045,6,5,0.560919998
69046,4,3,0.320479996
69047,3,2,0.140429996
69048,6,6,0.431983998
69049,2,0,NA
69051,1,0,NA
70011,3,3,1.09036998
70012,3,3,0.74774001
70013,4,3,2.26729004
70015,5,4,2.46136001
70016,5,3,0.82844
70017,3,2,0.46721
70018,4,4,1.93008003
70019,3,1,0.46353999
70020,3,3,2.02859004
70062,3,3,0.338769
70063,3,3,0.587441998
70064,2,2,0.54792
70066,3,2,0.464840991
70067,2,2,0.51018999
70068,2,2,0.51034
70069,3,3,0.69659998
70070,2,2,0.168971998
70071,3,3,1.64424004
70072,4,4,1.71915003
70073,3,3,0.86919
70074,4,4,3.65995
70075,3,3,1.41824
70076,3,3,0.665317999
70077,2,2,0.72554002
70078,7,4,3.153545999
70079,2,2,1.06869999
70080,2,2,1.22266997
70121,4,3,0.42169401
