"identifiant_menage","nb_parcelles","nb_parcelles_valides","superficie_totale_ha","poids_menage","etat","region","zone_residence","log1p_tot_ha"
50169,3,3,1.09,2241.45092773438,"Bauchi","North East","Rural",0.73716406597672
50170,4,4,1.485,2241.45092773438,"Bauchi","North East","Rural",0.910272659548592
59002,1,0,NA,NA,"Bauchi","North East","Urbain",NA
59003,1,1,0.2,679.977966308594,"Bauchi","North East","Urbain",0.182321556793955
59004,1,0,NA,679.977966308594,"Bauchi","North East","Urbain",NA
59005,7,7,6.99,679.977966308594,"Bauchi","North East","Urbain",2.07819075977818
59006,4,4,3,679.977966308594,"Bauchi","North East","Urbain",1.38629436111989
59007,1,0,NA,679.977966308594,"Bauchi","North East","Urbain",NA
59009,2,2,3,679.977966308594,"Bauchi","North East","Urbain",1.38629436111989
59010,1,0,NA,679.977966308594,"Bauchi","North East","Urbain",NA
59011,1,1,0.1,679.977966308594,"Bauchi","North East","Urbain",0.0953101798043249
59012,2,2,0.72,679.977966308594,"Bauchi","North East","Urbain",0.542324290825362
59013,4,4,0.88,1514.76452636719,"Bauchi","North East","Rural",0.631271776841858
59014,2,2,0.46,1514.76452636719,"Bauchi","North East","Rural",0.378436435720245
59015,5,5,2.22,1514.76452636719,"Bauchi","North East","Rural",1.16938135955632
59016,8,8,4.108758,1514.76452636719,"Bauchi","North East","Rural",1.63095632183591
59017,6,6,1.481672,1514.76452636719,"Bauchi","North East","Rural",0.908932526558905
59018,8,8,1.866373,1514.76452636719,"Bauchi","North East","Rural",1.05304746748336
59021,3,3,1.38,1514.76452636719,"Bauchi","North East","Rural",0.867100487683383
59022,7,7,1.96,1514.76452636719,"Bauchi","North East","Rural",1.08518926833597
59023,6,6,5.6,1514.76452636719,"Bauchi","North East","Rural",1.88706964903238
59024,7,7,3.5,1514.76452636719,"Bauchi","North East","Rural",1.50407739677627
59025,4,4,4.41,6560.46533203125,"Bauchi","North East","Rural",1.68824909285839
59026,2,2,3.6,6560.46533203125,"Bauchi","North East","Rural",1.52605630349505
59027,3,3,1.805,6560.46533203125,"Bauchi","North East","Rural",1.03140353897466
59028,4,4,2.68,6560.46533203125,"Bauchi","North East","Rural",1.30291275218084
59030,4,4,1.77,6560.46533203125,"Bauchi","North East","Rural",1.01884732019925
59031,4,4,3.45,6560.46533203125,"Bauchi","North East","Rural",1.49290409617815
59032,4,4,2.33,6560.46533203125,"Bauchi","North East","Rural",1.20297230399235
59034,4,4,3.21,6560.46533203125,"Bauchi","North East","Rural",1.43746264769429
59035,3,3,0.885,6560.46533203125,"Bauchi","North East","Rural",0.633927820899974
59036,4,4,2.21,6560.46533203125,"Bauchi","North East","Rural",1.16627093714192
59037,6,6,3.327,2241.02954101562,"Bauchi","North East","Rural",1.46487446124275
59039,3,3,1.285,2241.02954101562,"Bauchi","North East","Rural",0.826366024346168
59040,3,3,2.665,2241.02954101562,"Bauchi","North East","Rural",1.29882833533861
59041,3,3,10.01,2241.02954101562,"Bauchi","North East","Rural",2.39880395073459
59042,2,0,NA,2241.02954101562,"Bauchi","North East","Rural",NA
59043,2,2,1.6,2241.02954101562,"Bauchi","North East","Rural",0.955511445027436
59044,2,1,1.2,2241.02954101562,"Bauchi","North East","Rural",0.78845736036427
