"hhid","nombre_parcelle","superficie_totale_menage","wt_wave4","secteur","state","state_label","zone"
29118,3,4.5,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29119,3,2.2,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29120,3,3,1328.25122070312,"Rural",2,"2. Adamawa","2. North East"
29121,3,2.425,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29122,3,2.81,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29123,3,3.615,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29124,4,6.025,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29126,2,1.225,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29127,2,1.225,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29128,3,1.622,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29130,3,3.22,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29131,4,5,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29132,5,7,640.697570800781,"Rural",2,"2. Adamawa","2. North East"
29133,2,1.0001,2224.18920898438,"Urbain",2,"2. Adamawa","2. North East"
29134,2,0.8,2224.18920898438,"Urbain",2,"2. Adamawa","2. North East"
29135,2,2.0001,2224.18920898438,"Urbain",2,"2. Adamawa","2. North East"
29138,2,3,2224.18920898438,"Urbain",2,"2. Adamawa","2. North East"
29139,1,2.8,2224.18920898438,"Urbain",2,"2. Adamawa","2. North East"
29140,2,2.045,2224.18920898438,"Urbain",2,"2. Adamawa","2. North East"
