"zone_ru","state","n_menages","total","type_engrais","taux","ic_lo","ic_hi"
"Urbain",1,3131.96923828125,42611.9826660156,"Urée",0.0734997304121944,0.0710602941029041,0.0760160575598662
"Urbain",2,19152.5229492188,35504.0700683594,"Urée",0.539445841345586,0.534257156543016,0.544625991172785
"Urbain",4,37592.1882324219,456052.898925781,"Urée",0.0824294469368995,0.0816347787904766,0.0832311496469733
"Urbain",5,2039.93389892578,2039.93389892578,"Urée",1,0.998120410442305,1
"Urbain",7,6362.4658203125,19087.3974609375,"Urée",0.333333333333333,0.326679885986993,0.340053852611409
"Urbain",8,71038.2065429688,203504.554199219,"Urée",0.349074283976105,0.347006123908288,0.351148141842494
"Urbain",14,5621.9462890625,57181.3092041016,"Urée",0.0983179008545548,0.0959043998299886,0.100785368519936
"Urbain",15,18723.2674560547,26503.8712158203,"Urée",0.706435195960304,0.700923058061361,0.711887501287938
"Urbain",17,17245.2443847656,34490.4887695312,"Urée",0.5,0.494723520720887,0.505276479279113
"Urbain",18,78717.3271484375,89047.3276367188,"Urée",0.88399426729094,0.881874378583612,0.886081026772002
"Urbain",19,8095.13012695312,10886.2331542969,"Urée",0.743611680203443,0.735324521551587,0.751726971485976
"Urbain",20,129008.466796875,210646.010253906,"Urée",0.612442014170466,0.610359459646859,0.614520467657555
"Urbain",21,11068.2392578125,19369.4187011719,"Urée",0.571428571428571,0.564445893472687,0.578382922720435
"Urbain",31,3646.14331054688,3646.14331054688,"Urée",1,0.998947541136902,1
"Urbain",34,4292.9501953125,21464.7509765625,"Urée",0.2,0.194702763944194,0.205404596391579
"Urbain",35,16014.9931640625,96089.958984375,"Urée",0.166666666666667,0.164323634972224,0.169036349118341
"Urbain",36,16389.1328125,49167.3984375,"Urée",0.333333333333333,0.329179691028102,0.337513017004946
"Urbain",37,6375.32666015625,46835.2930908203,"Urée",0.136122275306222,0.133046454458994,0.13925778219627
"Rural",1,133314.452880859,581272.892822266,"Organique",0.229349165472993,0.228270180769349,0.230431727453946
"Rural",2,5705.09509277344,364284.887573242,"Organique",0.0156610808940747,0.015262967183751,0.0160694094030716
"Rural",3,36045.1379394531,628036.330627441,"Organique",0.0573933961805078,0.056820855059053,0.0579713517805833
"Rural",4,31929.1840820312,164165.614501953,"Organique",0.194493738404953,0.192586224643376,0.196415549463388
"Rural",5,266220.508666992,790362.644775391,"Organique",0.336833364312971,0.335792193048332,0.337876121671967
"Rural",10,2997.70849609375,367705.248291016,"Organique",0.00815247677324761,0.00786692449350091,0.00844830572038821
"Rural",14,56540.7012939453,592804.42199707,"Organique",0.0953783392901626,0.0946332188830557,0.0961287036776369
"Rural",15,61809.1197509766,218133.02935791,"Organique",0.283355161448571,0.281467931090253,0.285250022174217
"Rural",16,33779.5241699219,630532.347412109,"Organique",0.0535730233485451,0.0530199477875431,0.054131538504855
"Rural",17,229270.107299805,418382.967773438,"Organique",0.547991015312934,0.546482512075902,0.5494986372817
"Rural",18,187307.270751953,868008.154052734,"Organique",0.215789759436492,0.21492561630496,0.216656418159839
"Rural",19,536473.1796875,996525.701904297,"Organique",0.538343545642961,0.537364601762661,0.539322193907035
"Rural",20,202075.645507812,666269.072753906,"Organique",0.303294350242866,0.30219171314398,0.304399255591404
"Rural",21,53770.1248779297,383332.530273438,"Organique",0.140270184843364,0.139174469835224,0.141373109640992
"Rural",22,2703.564453125,128842.141113281,"Organique",0.0209835417959094,0.0202150800858976,0.0217805666316299
"Rural",26,4315.88037109375,532316.007324219,"Organique",0.00810774110060731,0.00787036070004448,0.00835222093156373
"Rural",30,13571.2314453125,426153.474365234,"Organique",0.0318458777451649,0.031322897175542,0.0323772983659876
"Rural",31,118906.478515625,836723.779296875,"Organique",0.142109596330041,0.141363096290869,0.142859382555097
"Rural",33,310168.796386719,491590.815673828,"Organique",0.630949127805749,0.629599188460782,0.632297020604137
"Rural",35,110286.755981445,264866.08996582,"Organique",0.416386846635133,0.414510719486575,0.418265399098514
"Rural",36,575937.431152344,814627.249511719,"Organique",0.706995047732022,0.706005715458665,0.707982427801589
"Rural",37,1277.53454589844,35283.658203125,"Organique",0.036207542271943,0.034308300984928,0.0382077620723001
"Urbain",1,3425.80493164062,42611.9826660156,"Organique",0.0803953422794572,0.0778513501582556,0.0830149820759864
"Urbain",2,1935.7958984375,35504.0700683594,"Organique",0.0545232108518918,0.05220933885889,0.0569334715463118
"Urbain",3,23431.091796875,130407.71862793,"Organique",0.179675651436914,0.177601402774884,0.181768771321609
"Urbain",4,67552.2927246094,456052.898925781,"Organique",0.148123809504833,0.14709581507395,0.149157731785373
"Urbain",8,1681.97998046875,203504.554199219,"Organique",0.00826507292226096,0.00788089646978697,0.0086678135176732
"Urbain",13,400,153326.115905762,"Organique",0.00260881844972745,0.00236565333390835,0.00287690638916878
"Urbain",14,15807.8707275391,57181.3092041016,"Organique",0.276451710315251,0.272801056200751,0.280132398504657
"Urbain",15,9318.86389160156,26503.8712158203,"Organique",0.351603877626717,0.345877445491944,0.357373320458056
"Urbain",16,17041.6138916016,70735.8658447266,"Organique",0.240918997570623,0.237781689641308,0.244084443840906
"Urbain",17,30964.0969238281,34490.4887695312,"Organique",0.897757556604465,0.894515756663365,0.900910764057224
"Urbain",18,29663.9755859375,89047.3276367188,"Organique",0.333125949685497,0.330037471573413,0.336228824908793
"Urbain",19,2791.10302734375,10886.2331542969,"Organique",0.256388319796557,0.248273028514024,0.264675478448413
"Urbain",20,96967.9194335938,210646.010253906,"Organique",0.460335893932724,0.458208151224278,0.462465083288571
"Urbain",21,5534.11962890625,19369.4187011719,"Organique",0.285714285714286,0.279395292527462,0.29211825889317
"Urbain",23,2235.142578125,130991.594482422,"Organique",0.0170632519357946,0.0163759552240498,0.0177788730180391
"Urbain",36,32778.265625,49167.3984375,"Organique",0.666666666666667,0.662486982995054,0.670820308971897
"Urbain",37,421.959381103516,46835.2930908203,"Organique",0.00900943184630608,0.00819304192621114,0.00990635784235745
"Rural",1,363543.725067139,581272.892822266,"Chimique (NPK/Urée)",0.625426937254923,0.624181842221413,0.626670374481106
"Rural",2,197721.466430664,364284.887573242,"Chimique (NPK/Urée)",0.542766041566604,0.541147880060814,0.544383301128554
"Rural",3,25029.4428710938,628036.330627441,"Chimique (NPK/Urée)",0.0398534951729433,0.0393725121198684,0.0403401072731026
"Rural",4,21148.8984375,164165.614501953,"Chimique (NPK/Urée)",0.128826602950086,0.127214735205689,0.130455841128121
"Rural",5,618926.399902344,790362.644775391,"Chimique (NPK/Urée)",0.783091665571104,0.782181677053867,0.783998902238422
"Rural",7,197915.819335938,718226.022338867,"Chimique (NPK/Urée)",0.275562028080568,0.27452992726508,0.276596529713038
"Rural",8,40857.4921875,42631.283203125,"Chimique (NPK/Urée)",0.958392267782008,0.956455019820922,0.96024691272343
