"identifiant_menage","superficie_totale_ha","superficie_gps_totale_ha","nb_parcelles","nb_parcelles_valides","region","etat","zone_residence","lga","strate","poids_menage"
29078,1.304058,0.74867998,3,3,2,2,2,211,2,1788.39514160156
29079,0.854372,0.51286001,3,3,2,2,2,211,2,1788.39514160156
29080,3.045,1.96408998,4,4,2,2,2,211,2,1788.39514160156
29082,2.045,4.1033,3,3,2,2,2,211,2,1788.39514160156
29083,5.449686,4.12823999,5,5,2,2,2,211,2,1788.39514160156
29084,1.045,0.21857,2,2,2,2,2,211,2,1788.39514160156
29085,1.444686,13.3196,3,3,2,2,2,211,2,4453.15234375
29086,1.218058,5.7161,4,4,2,2,2,211,2,4453.15234375
29087,2.259058,3.15343999,5,5,2,2,2,211,2,4453.15234375
29089,1.259058,1.2654,2,2,2,2,2,211,2,4453.15234375
29090,4.05,2.8829,3,3,2,2,2,211,2,4453.15234375
29091,2.11343,1.1515,3,3,2,2,2,211,2,4453.15234375
29092,1.304058,0.49476001,2,2,2,2,2,211,2,4453.15234375
29094,6.404686,1.66956997,4,4,2,2,2,211,2,4453.15234375
29095,2.404686,1.9273,2,2,2,2,2,211,2,4453.15234375
29096,1.404686,4.1911,2,2,2,2,2,211,2,4453.15234375
29097,1.048,0.43316001,2,2,2,2,2,211,2,1218.99694824219
29099,2.854372,2.99912002,4,4,2,2,2,211,2,1218.99694824219
29100,0.854372,1.14874002,3,3,2,2,2,211,2,1218.99694824219
29101,1.449686,5.39865,3,3,2,2,2,211,2,1218.99694824219
29102,1.854372,2.8751,3,3,2,2,2,211,2,1218.99694824219
29103,1.284058,1.63688999,3,3,2,2,2,211,2,1218.99694824219
29104,1.708744,3.70682002,3,3,2,2,2,211,2,1218.99694824219
29105,1.254058,1.22290005,3,3,2,2,2,211,2,1218.99694824219
29107,0.409736,0.52182002,2,2,2,2,2,211,2,1218.99694824219
29108,1.449686,0.658899,3,3,2,2,2,211,2,1218.99694824219
29109,7.02,4.45375,3,3,2,2,2,212,2,1328.25122070312
29110,2.04343,0.16583,2,2,2,2,2,212,2,1328.25122070312
29111,3.01,5.47008,3,3,2,2,2,212,2,1328.25122070312
29112,2.015,5.26025,3,3,2,2,2,212,2,1328.25122070312
29113,2.847802,0.215179001,3,3,2,2,2,212,2,1328.25122070312
29115,4.51,1.51181001,3,3,2,2,2,212,2,1328.25122070312
