"hhid","plotid","wave","state","zone","sector","lga","area_ha","area_declared_ha","area_gps_ha"
49018,3,4,4,4,2,405,NA,NA,NA
49018,4,4,4,4,2,405,NA,NA,NA
49019,1,4,4,4,2,405,0.059256,NA,0.059256
49019,2,4,4,4,2,405,0.038332001,NA,0.038332001
49019,3,4,4,4,2,405,0.033726001,NA,0.033726001
49019,4,4,4,4,2,405,NA,NA,NA
49023,1,4,4,4,2,405,0.066054999,NA,0.066054999
49023,2,4,4,4,2,405,0.082985999,NA,0.082985999
49023,3,4,4,4,2,405,0.046189999,NA,0.046189999
49023,4,4,4,4,2,405,NA,NA,NA
49023,5,4,4,4,2,405,NA,NA,NA
49024,1,4,4,4,2,405,NA,NA,NA
49025,1,4,4,4,2,408,0.041789001,NA,0.041789001
49025,2,4,4,4,2,408,0.0067239998,NA,0.0067239998
49025,3,4,4,4,2,408,NA,NA,NA
49026,1,4,4,4,2,408,NA,NA,NA
49026,2,4,4,4,2,408,NA,NA,NA
49026,3,4,4,4,2,408,NA,NA,NA
49026,4,4,4,4,2,408,NA,NA,NA
49027,1,4,4,4,2,408,0.043113,NA,0.043113
49027,2,4,4,4,2,408,0.037207001,NA,0.037207001
49027,3,4,4,4,2,408,NA,NA,NA
49027,4,4,4,4,2,408,NA,NA,NA
49027,5,4,4,4,2,408,NA,NA,NA
49034,1,4,4,4,2,408,0.0039299999,NA,0.0039299999
49034,2,4,4,4,2,408,0.024462,NA,0.024462
49035,1,4,4,4,2,408,0.051465002,NA,0.051465002
49035,2,4,4,4,2,408,NA,NA,NA
49035,3,4,4,4,2,408,NA,NA,NA
49035,4,4,4,4,2,408,0.059151001,NA,0.059151001
49035,5,4,4,4,2,408,NA,NA,NA
49036,1,4,4,4,2,408,NA,NA,NA
49036,2,4,4,4,2,408,NA,NA,NA
49036,3,4,4,4,2,408,NA,NA,NA
49036,4,4,4,4,2,408,NA,NA,NA
49037,1,4,4,4,1,412,NA,NA,NA
49037,2,4,4,4,1,412,0.037864999,NA,0.037864999
49037,3,4,4,4,1,412,0.008282,NA,0.008282
49037,4,4,4,4,1,412,NA,NA,NA
49038,1,4,4,4,1,412,NA,NA,NA
49038,2,4,4,4,1,412,NA,NA,NA
49038,3,4,4,4,1,412,0.037889999,NA,0.037889999
49038,4,4,4,4,1,412,NA,NA,NA
49038,5,4,4,4,1,412,NA,NA,NA
49038,6,4,4,4,1,412,NA,NA,NA
49038,7,4,4,4,1,412,NA,NA,NA
49038,8,4,4,4,1,412,NA,NA,NA
49038,9,4,4,4,1,412,0.042704001,NA,0.042704001
49038,10,4,4,4,1,412,0.015227,NA,0.015227
49038,11,4,4,4,1,412,NA,NA,NA
49038,12,4,4,4,1,412,NA,NA,NA
49038,13,4,4,4,1,412,NA,NA,NA
49039,1,4,4,4,1,412,0.056401001,NA,0.056401001
49039,2,4,4,4,1,412,0.039510999,NA,0.039510999
49039,3,4,4,4,1,412,NA,NA,NA
49040,1,4,4,4,1,412,NA,NA,NA
49040,2,4,4,4,1,412,0.025539999,NA,0.025539999
49040,3,4,4,4,1,412,0.018889999,NA,0.018889999
49041,1,4,4,4,1,412,0.020578,NA,0.020578
49041,2,4,4,4,1,412,0.012222,0.049285,0.012222
49041,3,4,4,4,1,412,NA,NA,NA
49041,4,4,4,4,1,412,NA,NA,NA
49042,1,4,4,4,1,412,0.32623999,NA,0.32623999
49042,2,4,4,4,1,412,0.043337,NA,0.043337
49042,3,4,4,4,1,412,NA,NA,NA
49042,4,4,4,4,1,412,NA,NA,NA
49042,5,4,4,4,1,412,NA,NA,NA
49042,6,4,4,4,1,412,NA,NA,NA
49043,1,4,4,4,1,412,NA,NA,NA
49044,1,4,4,4,1,412,NA,NA,NA
49044,2,4,4,4,1,412,NA,NA,NA
49044,3,4,4,4,1,412,NA,NA,NA
49044,4,4,4,4,1,412,NA,NA,NA
49044,5,4,4,4,1,412,NA,NA,NA
49044,6,4,4,4,1,412,0.071185999,NA,0.071185999
49044,7,4,4,4,1,412,NA,NA,NA
49044,8,4,4,4,1,412,NA,NA,NA
49045,1,4,4,4,1,412,0.11714,NA,0.11714
49045,2,4,4,4,1,412,NA,NA,NA
49045,3,4,4,4,1,412,NA,NA,NA
49045,4,4,4,4,1,412,NA,NA,NA
49045,5,4,4,4,1,412,NA,NA,NA
49045,6,4,4,4,1,412,NA,NA,NA
49046,1,4,4,4,1,412,0.0059259998,0.004701,0.0059259998
49046,2,4,4,4,1,412,NA,NA,NA
49046,3,4,4,4,1,412,NA,NA,NA
49046,4,4,4,4,1,412,0.014082001,NA,0.014082001
49046,5,4,4,4,1,412,0.013532001,NA,0.013532001
49049,1,4,4,4,1,416,NA,NA,NA
49049,2,4,4,4,1,416,NA,NA,NA
49051,1,4,4,4,1,416,NA,NA,NA
49051,2,4,4,4,1,416,NA,NA,NA
49051,3,4,4,4,1,416,NA,NA,NA
49052,1,4,4,4,1,416,NA,NA,NA
49055,1,4,4,4,1,416,NA,NA,NA
49055,2,4,4,4,1,416,NA,NA,NA
49055,3,4,4,4,1,416,NA,NA,NA
49055,4,4,4,4,1,416,NA,NA,NA
49057,1,4,4,4,1,416,NA,NA,NA
49058,1,4,4,4,1,416,NA,NA,NA
49060,1,4,4,4,1,416,NA,NA,NA
49060,2,4,4,4,1,416,NA,NA,NA
49063,1,4,4,4,1,416,NA,NA,NA
49064,1,4,4,4,1,416,NA,NA,NA
49068,1,4,4,4,1,416,NA,NA,NA
49070,1,4,4,4,1,416,NA,NA,NA
49070,2,4,4,4,1,416,NA,NA,NA
49071,2,4,4,4,1,416,NA,NA,NA
49073,1,4,4,4,1,417,NA,NA,NA
49073,2,4,4,4,1,417,NA,NA,NA
49076,2,4,4,4,1,417,NA,NA,NA
49076,3,4,4,4,1,417,NA,NA,NA
49076,4,4,4,4,1,417,NA,NA,NA
49076,5,4,4,4,1,417,NA,NA,NA
49077,1,4,4,4,1,417,0.000377,0.000462,0.000377
49077,2,4,4,4,1,417,NA,NA,NA
49079,1,4,4,4,1,417,NA,NA,NA
49080,1,4,4,4,1,417,NA,NA,NA
49080,2,4,4,4,1,417,NA,NA,NA
49080,3,4,4,4,1,417,NA,NA,NA
49081,1,4,4,4,1,417,NA,NA,NA
49082,1,4,4,4,1,417,NA,NA,NA
49083,1,4,4,4,1,417,NA,NA,NA
49085,1,4,4,4,1,419,NA,NA,NA
49085,2,4,4,4,1,419,NA,NA,NA
49085,3,4,4,4,1,419,0.0082019997,NA,0.0082019997
49086,1,4,4,4,1,419,0.022250999,NA,0.022250999
49086,2,4,4,4,1,419,0.017339999,NA,0.017339999
49086,3,4,4,4,1,419,NA,NA,NA
49086,4,4,4,4,1,419,NA,NA,NA
49088,1,4,4,4,1,419,NA,NA,NA
49090,1,4,4,4,1,419,NA,NA,NA
49090,2,4,4,4,1,419,NA,NA,NA
49090,3,4,4,4,1,419,NA,NA,NA
49090,4,4,4,4,1,419,NA,NA,NA
49090,5,4,4,4,1,419,NA,NA,NA
49091,1,4,4,4,1,419,NA,NA,NA
49091,2,4,4,4,1,419,NA,NA,NA
49093,1,4,4,4,1,419,NA,NA,NA
49093,2,4,4,4,1,419,NA,NA,NA
49093,3,4,4,4,1,419,NA,NA,NA
49093,4,4,4,4,1,419,0.0061290001,NA,0.0061290001
49094,1,4,4,4,1,419,NA,NA,NA
49094,2,4,4,4,1,419,0.024869,NA,0.024869
49095,1,4,4,4,1,419,NA,NA,NA
49095,2,4,4,4,1,419,0.046920001,NA,0.046920001
49095,3,4,4,4,1,419,NA,NA,NA
49097,1,4,4,4,1,420,0.019932001,NA,0.019932001
49097,2,4,4,4,1,420,0.056334998,NA,0.056334998
49097,3,4,4,4,1,420,0.022836,NA,0.022836
49100,1,4,4,4,1,420,0.01194,NA,0.01194
49100,2,4,4,4,1,420,0.020819,NA,0.020819
49100,3,4,4,4,1,420,0.043659,NA,0.043659
49100,4,4,4,4,1,420,0.062931,NA,0.062931
49100,5,4,4,4,1,420,0.16373,NA,0.16373
49100,6,4,4,4,1,420,NA,NA,NA
49100,7,4,4,4,1,420,NA,NA,NA
49101,1,4,4,4,1,420,NA,NA,NA
49101,2,4,4,4,1,420,NA,NA,NA
49101,3,4,4,4,1,420,NA,NA,NA
49101,4,4,4,4,1,420,NA,NA,NA
49101,5,4,4,4,1,420,0.0036860001,NA,0.0036860001
49102,1,4,4,4,1,420,0.004241,0.006455,0.004241
49102,2,4,4,4,1,420,0.041604001,NA,0.041604001
49102,3,4,4,4,1,420,0.043773999,NA,0.043773999
49102,4,4,4,4,1,420,NA,NA,NA
49102,5,4,4,4,1,420,NA,NA,NA
49103,1,4,4,4,1,420,0.042992001,NA,0.042992001
49103,2,4,4,4,1,420,0.038864999,NA,0.038864999
49103,3,4,4,4,1,420,0.047191,0.047191,NA
49103,4,4,4,4,1,420,NA,NA,NA
49104,1,4,4,4,1,420,0.063654999,NA,0.063654999
49104,2,4,4,4,1,420,0.061287,NA,0.061287
49104,3,4,4,4,1,420,NA,NA,NA
49104,4,4,4,4,1,420,0.16658,NA,0.16658
49105,1,4,4,4,1,420,0.12875,NA,0.12875
49105,2,4,4,4,1,420,NA,NA,NA
49105,3,4,4,4,1,420,NA,NA,NA
49105,4,4,4,4,1,420,NA,NA,NA
49105,5,4,4,4,1,420,NA,NA,NA
49105,6,4,4,4,1,420,NA,NA,NA
49106,1,4,4,4,1,420,0.099127002,NA,0.099127002
49106,2,4,4,4,1,420,0.072263,NA,0.072263
49106,3,4,4,4,1,420,NA,NA,NA
49108,1,4,4,4,1,420,0.054429999,NA,0.054429999
49108,2,4,4,4,1,420,0.037051001,NA,0.037051001
49108,3,4,4,4,1,420,0.048854999,NA,0.048854999
49108,4,4,4,4,1,420,NA,NA,NA
49111,1,4,4,4,2,405,0.075387,NA,0.075387
49111,2,4,4,4,2,405,0.085514001,NA,0.085514001
49111,3,4,4,4,2,405,0.12059,NA,0.12059
49111,4,4,4,4,2,405,0.12336,NA,0.12336
49111,5,4,4,4,2,405,NA,NA,NA
49111,6,4,4,4,2,405,NA,NA,NA
49112,1,4,4,4,2,405,NA,NA,NA
49112,2,4,4,4,2,405,NA,NA,NA
49112,3,4,4,4,2,405,0.091072998,NA,0.091072998
49112,4,4,4,4,2,405,NA,NA,NA
49113,1,4,4,4,2,408,0.12069,NA,0.12069
49113,2,4,4,4,2,408,0.061981,NA,0.061981
49113,3,4,4,4,2,408,0.036089001,NA,0.036089001
49113,4,4,4,4,2,408,NA,NA,NA
49114,1,4,4,4,2,408,NA,NA,NA
49114,2,4,4,4,2,408,NA,NA,NA
49114,3,4,4,4,2,408,0.029879999,NA,0.029879999
49114,4,4,4,4,2,408,NA,NA,NA
49114,5,4,4,4,2,408,NA,NA,NA
49114,6,4,4,4,2,408,NA,NA,NA
49118,1,4,4,4,1,416,NA,NA,NA
49122,1,4,4,4,1,417,NA,NA,NA
49124,1,4,4,4,1,419,NA,NA,NA
49124,2,4,4,4,1,419,0.043317999,NA,0.043317999
49126,1,4,4,4,1,407,0.015664999,NA,0.015664999
49126,2,4,4,4,1,407,NA,NA,NA
49126,3,4,4,4,1,407,NA,NA,NA
49126,4,4,4,4,1,407,NA,NA,NA
49126,5,4,4,4,1,407,NA,NA,NA
49126,6,4,4,4,1,407,NA,NA,NA
49129,1,4,4,4,1,407,NA,NA,NA
49129,2,4,4,4,1,407,NA,NA,NA
49129,3,4,4,4,1,407,NA,NA,NA
49129,4,4,4,4,1,407,NA,NA,NA
49129,5,4,4,4,1,407,NA,NA,NA
49129,6,4,4,4,1,407,NA,NA,NA
49129,7,4,4,4,1,407,NA,NA,NA
49129,8,4,4,4,1,407,NA,NA,NA
49129,9,4,4,4,1,407,NA,NA,NA
49129,10,4,4,4,1,407,NA,NA,NA
49129,11,4,4,4,1,407,NA,NA,NA
49130,1,4,4,4,1,407,NA,NA,NA
49130,2,4,4,4,1,407,NA,NA,NA
49130,3,4,4,4,1,407,NA,NA,NA
49130,4,4,4,4,1,407,1.4998,NA,1.4998
49130,5,4,4,4,1,407,0.16256,0.16256,NA
49130,6,4,4,4,1,407,NA,NA,NA
49130,7,4,4,4,1,407,NA,NA,NA
49131,1,4,4,4,1,407,0.42577998,NA,0.42577998
49131,2,4,4,4,1,407,0.48787002,NA,0.48787002
49131,3,4,4,4,1,407,0.5096,NA,0.5096
49131,4,4,4,4,1,407,NA,NA,NA
49131,5,4,4,4,1,407,NA,NA,NA
49131,6,4,4,4,1,407,NA,NA,NA
49131,7,4,4,4,1,407,0.75762002,NA,0.75762002
49131,8,4,4,4,1,407,NA,NA,NA
49131,9,4,4,4,1,407,NA,NA,NA
49131,10,4,4,4,1,407,NA,NA,NA
49131,11,4,4,4,1,407,NA,NA,NA
49132,1,4,4,4,1,407,0.0073370003,NA,0.0073370003
49132,2,4,4,4,1,407,NA,NA,NA
49132,3,4,4,4,1,407,NA,NA,NA
49132,4,4,4,4,1,407,NA,NA,NA
49132,5,4,4,4,1,407,NA,NA,NA
49132,6,4,4,4,1,407,NA,NA,NA
49132,7,4,4,4,1,407,NA,NA,NA
49132,8,4,4,4,1,407,NA,NA,NA
49132,9,4,4,4,1,407,NA,NA,NA
49132,10,4,4,4,1,407,NA,NA,NA
49133,1,4,4,4,1,407,0.66955,NA,0.66955
49133,2,4,4,4,1,407,NA,NA,NA
