hhid,total_area_ha,total_area_gps_ha,n_plots,n_plots_valides,region,etat,zone_residence,strate,wt_wave4
19182,0.647632,0.242896002,5,5,South East,Abia,Rural,4,400
19183,0.08823099999999999,0.08823099999999999,1,1,South East,Abia,Rural,4,400
19184,0.472236,0.096260999,4,4,South East,Abia,Rural,4,400
19185,1.814244,0.349555987,7,7,South East,Abia,Rural,4,400
19186,4.856232,0.417346997,4,4,South East,Abia,Rural,4,400
19187,1.618744,0.14817,4,4,South East,Abia,Rural,4,400
19188,2.832802,0.53408999,3,3,South East,Abia,Rural,4,400
19191,0.262056,0.23906001000000002,3,3,South East,Abia,Rural,4,400
19192,0.324098,0.22123999,4,4,South East,Abia,Rural,4,400
19193,1.75389,1.75389004,2,2,South East,Abia,Rural,4,456.7987976074219
19194,0.0703,0.037648001,2,2,South East,Abia,Rural,4,456.7987976074219
19195,0.10925,0.023594999999999998,2,2,South East,Abia,Rural,4,456.7987976074219
19196,NA,0,1,0,South East,Abia,Rural,4,456.7987976074219
19197,0.404686,0,1,1,South East,Abia,Rural,4,456.7987976074219
19198,NA,0,1,0,South East,Abia,Rural,4,456.7987976074219
19199,NA,0,1,0,South East,Abia,Rural,4,456.7987976074219
19201,NA,0,1,0,South East,Abia,Rural,4,456.7987976074219
19202,0.15216800000000003,0,2,2,South East,Abia,Rural,4,456.7987976074219
19204,0.00988,0,1,1,South East,Abia,Rural,4,456.7987976074219
19205,0.1266315,0.092419,2,2,South East,Abia,Urbain,4,3425.804931640625
19206,1.0511715000000001,0.25828,3,3,South East,Abia,Urbain,4,3425.804931640625
19207,0.210792,1.10446997,3,3,South East,Abia,Urbain,4,3425.804931640625
19208,0.135426,0.41548999000000003,2,2,South East,Abia,Urbain,4,3425.804931640625
19209,0.168406,0.48853999000000004,2,2,South East,Abia,Urbain,4,3425.804931640625
19211,0.208845,1.23987998,3,3,South East,Abia,Urbain,4,3425.804931640625
19213,1.011715,1.12528,3,3,South East,Abia,Urbain,4,3425.804931640625
19214,0.837872,1.9003899899999999,3,3,South East,Abia,Urbain,4,3425.804931640625
19215,0.607029,0.34023999,2,2,South East,Abia,Urbain,4,3425.804931640625
19216,NA,0,1,0,South East,Abia,Urbain,4,NA
19217,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19218,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19222,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19224,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19225,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19226,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19227,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19228,NA,0,1,0,South East,Abia,Urbain,4,4513.5068359375
19230,1.011715,0.094785998,3,3,South East,Abia,Rural,4,2645.096923828125
19231,1.759372,0.34089400000000003,4,4,South East,Abia,Rural,4,2645.096923828125
19232,1.214058,0.165658002,3,3,South East,Abia,Rural,4,2645.096923828125
19234,NA,0,1,0,South East,Abia,Rural,4,2645.096923828125
19235,0.225718,0.07867799789999999,4,4,South East,Abia,Rural,4,2645.096923828125
19236,0.727686,0.082890001,4,4,South East,Abia,Rural,4,2645.096923828125
19238,0.172785,0.033839,3,3,South East,Abia,Rural,4,2645.096923828125
19239,0.1805,0.128715002,3,3,South East,Abia,Rural,4,2645.096923828125
19242,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19244,NA,0,1,0,South East,Abia,Urbain,4,5176.703125
19245,NA,0,1,0,South East,Abia,Urbain,4,4284.16796875
19250,2.832802,0.10519800099999999,3,3,South East,Abia,Rural,4,5403.970703125
19254,1e-4,0.040698001,1,1,South East,Abia,Rural,4,5029.37158203125
19266,0.076,0.075044,1,1,South East,Abia,Rural,4,2065.22998046875
19269,1.214058,0.57229001,2,2,South East,Abia,Rural,4,710.65704345703125
19277,0.1011715,0,1,1,South East,Abia,Urbain,4,4513.5068359375
19278,0.064218,0,1,1,South East,Abia,Urbain,4,4513.5068359375
19279,0.202343,0,1,1,South East,Abia,Rural,4,2645.096923828125
19280,0.424063,0.174042002,4,4,South East,Abia,Rural,4,2645.096923828125
19284,0.05,0,1,1,South East,Abia,Urbain,4,5176.703125
20001,3.224058,1.67313,3,3,North East,Adamawa,Rural,2,2253.910888671875
20002,0.819372,0.63825,3,3,North East,Adamawa,Rural,2,2253.910888671875
20003,0.7117290000000001,0.77661001,2,2,North East,Sokoto,Rural,2,2253.910888671875
20005,2.222343,0.2364,4,4,North East,Adamawa,Rural,2,2253.910888671875
20006,0.819372,0.7357,3,3,North East,Adamawa,Rural,2,2253.910888671875
20007,2.5,0.7181999800000001,3,3,North East,Adamawa,Rural,2,2253.910888671875
20008,3.015,0.17224,4,4,North East,Adamawa,Rural,2,2253.910888671875
20009,1.8243719999999999,0.44262001,4,4,North East,Sokoto,Rural,2,2253.910888671875
20010,0.829372,0.17352,3,3,North East,Adamawa,Rural,2,2253.910888671875
20041,3.0484299999999998,0.87482002,3,3,North East,Adamawa,Rural,2,1473.3438720703125
20042,2.02,0.45396000000000003,3,3,North East,Adamawa,Rural,2,1473.3438720703125
20043,1.226058,0.5459700200000001,2,2,North East,Adamawa,Rural,2,1473.3438720703125
20044,3.035,0.70966001,3,3,North East,Adamawa,Rural,2,1473.3438720703125
20045,2.7518648,0.6837399799999999,3,3,North East,Adamawa,Rural,2,1473.3438720703125
