"hhid","nb_parcelles","superf_totale_ha","superf_moy_ha","wt_wave4","milieu","state"
119005,1,0.20663,0.20663,3489.90063476562,"Rural",11
119006,1,0.096908,0.096908,3489.90063476562,"Rural",11
119011,1,0.11471,0.11471,3489.90063476562,"Rural",11
119012,1,0.087119,0.087119,3489.90063476562,"Rural",11
119025,2,0.216275,0.1081375,2601.31030273438,"Rural",11
119026,1,0.12791,0.12791,2601.31030273438,"Rural",11
119027,1,0.15345,0.15345,2601.31030273438,"Rural",11
119029,2,0.127822,0.063911,2601.31030273438,"Rural",11
119030,1,0.17558,0.17558,2601.31030273438,"Rural",11
119032,2,0.40586,0.20293,2601.31030273438,"Rural",11
119034,1,0.006809,0.006809,2601.31030273438,"Rural",11
119037,1,0.065905,0.065905,2732.97192382812,"Rural",11
119047,1,0.047101,0.047101,9609.2900390625,"Rural",11
119048,1,0.40453,0.40453,9609.2900390625,"Rural",11
119052,1,0.26239,0.26239,9609.2900390625,"Rural",11
119053,1,0.73138,0.73138,9609.2900390625,"Rural",11
119054,1,0.21777,0.21777,9609.2900390625,"Rural",11
119057,1,0.15339,0.15339,9609.2900390625,"Rural",11
120001,1,0.096821,0.096821,1792.11059570312,"Urbain",12
120093,1,0.11489,0.11489,1315.02282714844,"Rural",12
129025,1,0.1156,0.1156,1765.38122558594,"Urbain",12
129027,1,0.17445,0.17445,1765.38122558594,"Urbain",12
129028,2,0.154958,0.077479,1765.38122558594,"Urbain",12
129034,1,0.056435,0.056435,1765.38122558594,"Urbain",12
129041,1,0.24723,0.24723,4737.62646484375,"Rural",12
129106,1,0.10877,0.10877,22743.35546875,"Urbain",12
129136,2,1.09394,0.54697,1662.26306152344,"Urbain",12
129147,2,0.71376,0.35688,5438.16552734375,"Urbain",12
129180,1,0.2452,0.2452,1662.26306152344,"Urbain",12
139152,1,0.16271,0.16271,6838.826171875,"Urbain",13
139153,1,0.3277,0.3277,6838.826171875,"Urbain",13
140003,2,0.365496,0.182748,6935.83203125,"Rural",14
140009,2,0.26201,0.131005,6935.83203125,"Rural",14
140026,1,0.015489,0.015489,1870.12756347656,"Rural",14
140027,1,0.020096,0.020096,1870.12756347656,"Rural",14
140062,1,0.034616,0.034616,5766.599609375,"Rural",14
140063,2,0.190391,0.0951955,5766.599609375,"Rural",14
140065,2,0.071648,0.035824,5766.599609375,"Rural",14
140067,2,0.30957,0.154785,5766.599609375,"Rural",14
140068,1,0.032621,0.032621,5766.599609375,"Rural",14
140069,2,0.124395,0.0621975,5766.599609375,"Rural",14
140074,1,0.033838,0.033838,2131.13452148438,"Rural",14
140076,1,0.037896,0.037896,2131.13452148438,"Rural",14
140085,1,0.011759,0.011759,4829.36279296875,"Rural",14
140090,2,0.21131,0.105655,4829.36279296875,"Rural",14
149002,1,0.039444,0.039444,5354.72412109375,"Rural",14
149008,2,0.06675,0.033375,5354.72412109375,"Rural",14
149015,1,0.13948,0.13948,5618.947265625,"Rural",14
149019,1,0.023277,0.023277,5618.947265625,"Rural",14
