hhid,secteur_residence,taille_menage
69009,Rural,1
69010,Rural,1
69012,Rural,1
69013,Urbain,3
69014,Urbain,9
69016,Urbain,3
69017,Urbain,5
69020,Urbain,4
69021,Urbain,7
69022,Urbain,2
69023,Urbain,3
69025,Rural,4
69026,Rural,9
69027,Rural,7
69028,Rural,5
69029,Rural,5
69030,Rural,10
69031,Rural,8
69033,Rural,6
69034,Rural,9
69036,Rural,8
69037,Rural,11
69038,Rural,10
69040,Rural,5
69041,Rural,1
69042,Rural,6
69043,Rural,2
69045,Rural,6
69046,Rural,3
69047,Rural,4
69048,Rural,6
69049,Rural,1
69050,Rural,5
69051,Urbain,6
69052,Urbain,5
70011,Rural,3
70012,Rural,7
70013,Rural,5
70015,Rural,8
70016,Rural,4
70017,Rural,1
70018,Rural,9
70019,Rural,5
70020,Rural,11
70062,Rural,11
70063,Rural,6
70064,Rural,4
70066,Rural,4
70067,Rural,6
70068,Rural,6
70069,Rural,5
70070,Rural,7
70071,Rural,7
70072,Rural,3
70073,Rural,6
70074,Rural,3
70075,Rural,2
70076,Rural,8
70077,Rural,7
70078,Rural,9
70079,Rural,3
70080,Rural,5
70121,Rural,8
70122,Rural,3
70123,Rural,2
70124,Rural,8
70125,Rural,8
70126,Rural,7
70127,Rural,13
70128,Rural,4
70129,Rural,3
70130,Rural,3
70131,Rural,4
70132,Rural,8
70133,Rural,2
70134,Rural,4
70135,Rural,2
70136,Rural,2
70137,Rural,4
70139,Rural,6
70140,Rural,1
70151,Rural,7
70152,Rural,3
70153,Rural,8
70154,Rural,3
70155,Rural,8
70156,Rural,4
70157,Rural,6
70158,Rural,3
70159,Rural,2
70160,Rural,10
79002,Rural,5
79004,Rural,3
79005,Rural,5
79006,Rural,7
79007,Rural,5
79008,Rural,4
79009,Rural,1
79010,Rural,12
79011,Rural,12
79012,Rural,5
79014,Rural,8
79015,Rural,3
79016,Rural,4
79017,Rural,7
79018,Rural,6
79019,Rural,5
79020,Rural,3
79021,Rural,11
79023,Rural,9
79024,Rural,7
79025,Rural,8
79026,Rural,2
79028,Rural,7
79029,Rural,5
79030,Rural,7
79032,Rural,6
79033,Rural,3
79034,Rural,2
79035,Rural,5
79036,Rural,4
79038,Urbain,2
79039,Urbain,6
79040,Urbain,5
79041,Urbain,1
79042,Urbain,6
79043,Urbain,3
79045,Rural,3
79046,Urbain,1
79047,Urbain,10
79051,Urbain,6
79052,Urbain,4
79053,Urbain,4
79054,Urbain,5
79055,Urbain,5
79056,Urbain,5
79057,Urbain,4
79058,Urbain,3
79059,Urbain,7
79061,Rural,6
79062,Rural,5
79064,Rural,8
79065,Rural,5
79066,Rural,2
79067,Rural,5
79068,Rural,3
79069,Rural,6
79070,Rural,7
79072,Rural,3
79073,Rural,7
79074,Rural,9
79075,Rural,6
79077,Rural,4
79078,Rural,3
79080,Rural,9
79081,Rural,5
79082,Rural,6
79083,Rural,5
79084,Rural,2
79085,Rural,6
79087,Rural,3
79088,Rural,1
79090,Rural,3
79091,Rural,8
79092,Rural,7
79093,Rural,5
79094,Rural,11
79095,Rural,10
79096,Rural,18
79097,Rural,6
79098,Rural,1
79099,Rural,8
79101,Rural,2
79102,Rural,1
79104,Rural,3
79105,Rural,3
79106,Rural,2
79107,Rural,1
79108,Rural,6
79109,Rural,13
79110,Rural,10
79111,Rural,10
79112,Rural,13
79113,Rural,11
79114,Rural,1
79116,Rural,7
79117,Rural,9
79119,Rural,12
79120,Rural,7
79121,Rural,7
79122,Rural,9
79123,Rural,6
79124,Rural,8
79125,Rural,3
79127,Rural,7
79128,Rural,4
79129,Rural,3
79131,Rural,1
79132,Rural,6
79133,Rural,8
79134,Rural,7
79136,Rural,4
79137,Rural,4
79138,Rural,4
79139,Rural,3
79140,Rural,1
79141,Rural,4
79142,Rural,2
79143,Rural,4
80011,Urbain,4
80012,Urbain,4
80013,Urbain,6
80014,Urbain,4
80015,Urbain,6
80016,Urbain,13
80017,Urbain,5
80018,Urbain,9
80019,Urbain,6
80020,Urbain,12
80091,Rural,14
80092,Rural,7
80095,Rural,12
80097,Rural,5
80098,Rural,13
80099,Rural,9
80100,Rural,8
80101,Rural,3
80102,Rural,12
80103,Rural,9
80104,Rural,12
80105,Rural,7
80106,Rural,2
80107,Rural,9
80108,Rural,7
80109,Rural,6
80110,Rural,3
89001,Urbain,2
89002,Urbain,7
89003,Urbain,8
89004,Urbain,9
89005,Urbain,9
89006,Urbain,9
89007,Urbain,7
89009,Urbain,3
89010,Urbain,12
89011,Urbain,3
89015,Urbain,7
89016,Urbain,14
89017,Urbain,6
89019,Urbain,10
89020,Urbain,10
89021,Urbain,6
89022,Urbain,6
89023,Urbain,8
89024,Urbain,9
89028,Urbain,8
90001,Urbain,4
90002,Urbain,2
90003,Urbain,3
90004,Urbain,9
90005,Urbain,4
90007,Rural,8
90009,Urbain,3
90010,Urbain,6
90021,Urbain,7
90022,Urbain,3
90025,Urbain,3
90026,Urbain,3
90027,Urbain,4
