"hhid","cropcode","crop_name","superficie_ha","prod_kg","rendement_kg_ha","state"
59027,1100,"Millet",0.04,400,10000,5
59028,1100,"Millet",0.11,1100,10000,5
59032,1100,"Millet",0.24,2400,10000,5
59034,1100,"Millet",0.19,1900,10000,5
59035,1100,"Millet",0.05,500,10000,5
59036,1100,"Millet",0.13,1300,10000,5
59037,1100,"Millet",0.13,1300,10000,5
59039,1100,"Millet",0.08,800,10000,5
59040,1100,"Millet",0.1,1000,10000,5
59041,1100,"Millet",0.04,400,10000,5
59042,1100,"Millet",0.04,400,10000,5
59043,1100,"Millet",0.1,1000,10000,5
59044,1100,"Millet",0.03,300,10000,5
59046,1100,"Millet",0.085,850,10000,5
59047,1100,"Millet",0.11,1100,10000,5
59052,1100,"Millet",0.06,600,10000,5
59054,1100,"Millet",0.13,1300,10000,5
59056,1100,"Millet",0.05,500,10000,5
59058,1100,"Millet",0.19,1900,10000,5
59059,1100,"Millet",0.37,3700,10000,5
59060,1100,"Millet",0.31,3100,10000,5
59062,1100,"Millet",0.02,200,10000,5
59063,1100,"Millet",0.1,1000,10000,5
59066,1100,"Millet",0.1,1000,10000,5
59067,1100,"Millet",0.15,1500,10000,5
59069,1100,"Millet",0.24,2400,10000,5
59070,1100,"Millet",0.06,600,10000,5
59073,1080,"Maïs",0.15,1500,10000,5
59076,1080,"Maïs",0.16,1600,10000,5
59077,1080,"Maïs",0.06,600,10000,5
59077,1100,"Millet",0.0105799996852875,105.799996852875,10000,5
59078,1080,"Maïs",0.04,400,10000,5
59079,1080,"Maïs",0.0252,252,10000,5
59079,1100,"Millet",0.00847000026702881,84.7000026702881,10000,5
59080,1080,"Maïs",0.0324,324,10000,5
59081,1080,"Maïs",0.04,400,10000,5
59083,1100,"Millet",0.01,100,10000,5
59084,1080,"Maïs",0.036,360,10000,5
59085,1100,"Millet",0.0935999965667725,935.999965667725,10000,5
59086,1100,"Millet",0.64,6400,10000,5
59087,1100,"Millet",0.025,250,10000,5
59089,1100,"Millet",0.06,600,10000,5
59090,1100,"Millet",0.25,2500,10000,5
59092,1100,"Millet",0.24,2400,10000,5
59093,1100,"Millet",0.3,3000,10000,5
59094,1100,"Millet",0.0675999975204468,675.999975204468,10000,5
