"hhid","zone","state","lga","sector","ea","cropcode","crop_name","crop_type","wt_wave4","area_type"
19188,4,1,113,2,44,1080,"maize","céréale",400,"rural"
19191,4,1,113,2,44,1080,"maize","céréale",400,"rural"
19192,4,1,113,2,44,1080,"maize","céréale",400,"rural"
19194,4,1,113,2,284,1080,"maize","céréale",456.798797607422,"rural"
19194,4,1,113,2,284,1090,"melon/egusi","autres",456.798797607422,"rural"
19194,4,1,113,2,284,1121,"yam, white","tubercule",456.798797607422,"rural"
19194,4,1,113,2,284,1123,"water yam","tubercule",456.798797607422,"rural"
19195,4,1,113,2,284,1080,"maize","céréale",456.798797607422,"rural"
19202,4,1,113,2,284,1080,"maize","céréale",456.798797607422,"rural"
19202,4,1,113,2,284,1121,"yam, white","tubercule",456.798797607422,"rural"
19205,4,1,115,1,176,1080,"maize","céréale",3425.80493164062,"urban"
19205,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
19205,4,1,115,1,176,2190,"pumpkin","autres",3425.80493164062,"urban"
19206,4,1,115,1,176,1080,"maize","céréale",3425.80493164062,"urban"
19206,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
19207,4,1,115,1,176,1080,"maize","céréale",3425.80493164062,"urban"
19207,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
19208,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
19209,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
19211,4,1,115,1,176,1080,"maize","céréale",3425.80493164062,"urban"
19211,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
19213,4,1,115,1,176,1080,"maize","céréale",3425.80493164062,"urban"
19213,4,1,115,1,176,2190,"pumpkin","autres",3425.80493164062,"urban"
19214,4,1,115,1,176,1080,"maize","céréale",3425.80493164062,"urban"
19214,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
19214,4,1,115,1,176,1123,"water yam","tubercule",3425.80493164062,"urban"
19214,4,1,115,1,176,2190,"pumpkin","autres",3425.80493164062,"urban"
19215,4,1,115,1,176,1080,"maize","céréale",3425.80493164062,"urban"
19215,4,1,115,1,176,1121,"yam, white","tubercule",3425.80493164062,"urban"
