"hhid","zone","state","lga","sector","ea","area_type","wt_wave4","used_inorganic","used_npk","used_urea","used_organic","used_pesticide","used_herbicide","used_any_fertilizer","n_plots"
20100,2,2,207,2,1302,"rural",1106.5712890625,2,1,0,2,2,1,0,2
20101,2,2,205,2,712,"rural",1822.60461425781,2,0,0,2,2,1,0,3
20102,2,2,205,2,712,"rural",1822.60461425781,2,1,0,2,2,2,0,5
20103,2,2,205,2,712,"rural",1822.60461425781,2,0,1,2,2,2,0,4
20104,2,2,205,2,712,"rural",1822.60461425781,2,0,0,2,2,2,0,3
20106,2,2,205,2,712,"rural",1822.60461425781,2,0,0,2,2,2,0,3
20107,2,2,205,2,712,"rural",1822.60461425781,2,0,0,2,2,2,0,3
20108,2,2,205,2,712,"rural",1822.60461425781,2,0,0,2,2,2,0,2
20110,2,2,205,2,712,"rural",1822.60461425781,2,0,0,2,2,1,0,2
29001,2,2,204,2,144,"rural",4149.94140625,1,1,1,2,2,1,1,2
29002,2,2,204,2,144,"rural",4149.94140625,1,1,0,1,1,1,1,1
29003,2,2,204,2,144,"rural",4149.94140625,2,0,0,2,2,2,0,2
29004,2,2,204,2,144,"rural",4149.94140625,2,0,0,2,2,1,0,2
29005,2,2,204,2,144,"rural",4149.94140625,2,0,0,2,2,1,0,1
29006,2,2,204,2,144,"rural",4149.94140625,2,0,0,2,2,1,0,3
29007,2,2,204,2,144,"rural",4149.94140625,2,0,0,2,2,1,0,2
29008,2,2,204,2,144,"rural",4149.94140625,2,1,1,2,2,1,0,2
29009,2,2,204,2,144,"rural",4149.94140625,2,0,0,2,2,2,0,1
29010,2,2,204,2,144,"rural",4149.94140625,2,0,0,2,2,2,0,1
29013,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,1,0,2
29014,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,1,0,2
29018,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,1,0,2
29019,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,1,0,2
29020,2,2,205,2,206,"rural",1407.2490234375,2,1,0,2,2,2,0,3
29021,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,1,0,4
29022,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,1,0,4
29023,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,1,0,3
29024,2,2,205,2,206,"rural",1407.2490234375,2,0,0,2,2,2,0,2
29025,2,2,207,2,158,"rural",794.480407714844,2,1,0,2,2,1,0,3
29026,2,2,207,2,0,"rural",794.480407714844,1,1,1,2,2,1,1,2
29028,2,2,207,2,158,"rural",794.480407714844,2,0,0,2,2,2,0,2
